id,type,src,dst,app,latency,message,ctime,size,buffer
212,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3100,20009999,1
213,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3100,20,2
215,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3100,20,3
216,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3100,20,4
217,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3100,20,5
218,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3200,20009999,0
219,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3200,20009999,1
220,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3200,20,2
222,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3200,20,3
223,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3200,20,4
224,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3200,20,5
225,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3300,20009999,0
226,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3300,20009999,1
227,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3300,20,2
229,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3300,20,3
230,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3300,20,4
231,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3300,20,5
232,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3400,20009999,0
233,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3400,20009999,1
234,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3400,20,2
236,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3400,20,3
237,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3400,20,4
238,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3400,20,5
239,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3500,20009999,0
240,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3500,20009999,1
241,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3500,20,2
243,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3500,20,3
244,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3500,20,4
245,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3500,20,5
246,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3600,20009999,0
247,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3600,20009999,1
248,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3600,20,2
250,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3600,20,3
251,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3600,20,4
252,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3600,20,5
253,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3700,20009999,0
254,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3700,20009999,1
255,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3700,20,2
257,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3700,20,3
258,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3700,20,4
259,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3700,20,5
260,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3800,20009999,0
261,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3800,20009999,1
262,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3800,20,2
264,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3800,20,3
265,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3800,20,4
266,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3800,20,5
267,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,3900,20009999,0
268,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,3900,20009999,1
269,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,3900,20,2
271,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,3900,20,3
272,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,3900,20,4
273,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,3900,20,5
274,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4000,20009999,0
275,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4000,20009999,1
276,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4000,20,2
278,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4000,20,3
279,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4000,20,4
280,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4000,20,5
281,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4100,20009999,0
282,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4100,20009999,1
283,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4100,20,2
285,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4100,20,3
286,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4100,20,4
287,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4100,20,5
288,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4200,20009999,0
289,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4200,20009999,1
290,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4200,20,2
292,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4200,20,3
293,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4200,20,4
294,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4200,20,5
295,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4300,20009999,0
296,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4300,20009999,1
297,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4300,20,2
299,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4300,20,3
300,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,4300,20,4
301,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,4300,20,5
302,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,4400,20009999,0
303,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,4400,20009999,1
304,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,4400,20,2
306,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,4400,20,3
